trade_no,signal_ts,entry_ts,exit_ts,direction,trigger,entry_price,stop_loss,take_profit,risk_distance,sl_method,exit_price,result,r_mult,mae_r,mfe_r,hold_bars,reason
175,2026-08-26 21:00:00+00,2026-08-26 21:15:00+00,2026-08-27 00:15:00+00,LONG,BREAKOUT_10,2491.64,2458.91,2557.10,32.73,STRUCTURE,2499.99,TIME_WIN,0.25511762908646501680,0.19003971891231286282,0.43293614421020470516,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
176,2026-08-27 01:15:00+00,2026-08-27 01:30:00+00,2026-08-27 04:30:00+00,LONG,RECLAIM_SMA20,2502.12,2486.18,2534.00,15.94,STRUCTURE,2486.18,LOSS,-1,-1.1988707653701380,-0.70577164366373902133,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
177,2026-08-27 05:45:00+00,2026-08-27 06:00:00+00,2026-08-27 08:00:00+00,LONG,RECLAIM_SMA20,2495.45,2480.56,2525.23,14.89,STRUCTURE,2525.23,WIN,2,0.03223640026863666891,3.3868368032236400,8,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
178,2026-08-27 14:15:00+00,2026-08-27 14:30:00+00,2026-08-27 17:30:00+00,LONG,BREAKOUT_10,2507.4,2481.57,2559.06,25.83,STRUCTURE,2517.53,TIME_WIN,0.39217963608207510647,0.33565621370499419280,0.72009291521486643438,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
179,2026-08-27 22:00:00+00,2026-08-27 22:15:00+00,2026-08-28 01:15:00+00,LONG,RECLAIM_SMA20,2508.97,2497.93,2531.05,11.04,STRUCTURE,2527.55,TIME_WIN,1.6829710144927536,0.90851449275362318841,1.8306159420289855,12,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
180,2026-08-28 10:45:00+00,2026-08-28 11:00:00+00,2026-08-28 14:00:00+00,LONG,BREAKOUT_10,2505.6,2481.05,2554.70,24.55,STRUCTURE,2481.05,LOSS,-1,-1.6537678207739308,0.82077393075356415479,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
181,2026-08-30 12:00:00+00,2026-08-30 12:15:00+00,2026-08-30 15:15:00+00,LONG,BREAKOUT_10,2469.05,2455.38,2496.39,13.67,STRUCTURE,2476.24,TIME_WIN,0.52596927578639356255,0.09875640087783467447,0.72348207754206291149,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
182,2026-08-31 03:45:00+00,2026-08-31 04:00:00+00,2026-08-31 05:15:00+00,SHORT,REJECT_SMA20,2419.8,2432.27142857142857148,2394.85714285714285704,12.47142857142857148,ATR_1.2,2432.27142857142857148,LOSS,-1,-1.93802978235967926,-0.11867124856815578416,5,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
183,2026-09-01 12:30:00+00,2026-09-01 12:45:00+00,2026-09-01 15:45:00+00,SHORT,BREAKDOWN_10,2445.35,2463,2410.05,17.65,STRUCTURE,2448,TIME_LOSS,-0.15014164305949008499,-0.49575070821529745042,-0.10821529745042492918,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
184,2026-09-01 16:00:00+00,2026-09-01 16:15:00+00,2026-09-01 18:30:00+00,SHORT,REJECT_SMA20,2434.01,2454.1,2393.83,20.09,STRUCTURE,2393.83,WIN,2,0.49825783972125435540,2.5793927327028372,9,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
185,2026-09-01 21:00:00+00,2026-09-01 21:15:00+00,2026-09-01 23:30:00+00,SHORT,REJECT_SMA20,2407.66,2423.49314285714285716,2375.99371428571428568,15.83314285714285716,ATR_1.2,2423.49314285714285716,LOSS,-1,-1.23980438862422405,-0.02147394254366969826,9,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
186,2026-09-02 00:15:00+00,2026-09-02 00:30:00+00,2026-09-02 03:30:00+00,SHORT,REJECT_SMA20,2411.58,2427.29,2380.16,15.71,STRUCTURE,2413.83,TIME_LOSS,-0.14322087842138765118,-0.50286441756842775302,-0.07829408020369191598,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
187,2026-09-02 04:00:00+00,2026-09-02 04:15:00+00,2026-09-02 05:45:00+00,SHORT,REJECT_SMA20,2407.22,2423.64,2374.38,16.42,STRUCTURE,2423.64,LOSS,-1,-1.3264311814859927,-0.38733252131546894032,6,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
188,2026-09-02 08:15:00+00,2026-09-02 08:30:00+00,2026-09-02 09:15:00+00,SHORT,BREAKDOWN_10,2413,2425.57,2387.86,12.57,STRUCTURE,2387.86,WIN,2,1.3961813842482100,4.5696101829753381,3,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
189,2026-09-02 12:30:00+00,2026-09-02 12:45:00+00,2026-09-02 13:30:00+00,SHORT,REJECT_SMA20,2381.32,2394.29371428571428568,2355.37257142857142864,12.97371428571428568,ATR_1.2,2394.29371428571428568,LOSS,-1,-2.87658562367864694,0.29367071881606765405,3,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
190,2026-09-02 19:15:00+00,2026-09-02 19:30:00+00,2026-09-02 20:00:00+00,SHORT,REJECT_SMA20,2385.69,2399,2359.07,13.31,STRUCTURE,2399,LOSS,-1,-1.01427498121712997746,0.55447032306536438768,2,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
191,2026-09-02 21:45:00+00,2026-09-02 22:00:00+00,2026-09-03 01:00:00+00,SHORT,REJECT_SMA20,2389.42,2396.89342857142857148,2374.47314285714285704,7.47342857142857148,ATR_1.2,2374.47314285714285704,WIN,2,-0.14451198531941736338,2.76847497801735671,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
192,2026-09-03 09:15:00+00,2026-09-03 09:30:00+00,2026-09-03 11:45:00+00,SHORT,REJECT_SMA20,2398.08,2408.77,2376.70,10.69,STRUCTURE,2408.77,LOSS,-1,-2.2787652011225444,-0.55846585594013096352,9,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
193,2026-09-05 12:30:00+00,2026-09-05 12:45:00+00,2026-09-05 13:45:00+00,LONG,BREAKOUT_10,2458.03,2452.27,2469.55,5.76,STRUCTURE,2452.27,LOSS,-1,-1.7413194444444444,0.11631944444444444444,4,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
194,2026-09-05 14:15:00+00,2026-09-05 14:30:00+00,2026-09-05 16:45:00+00,LONG,RECLAIM_SMA20,2455.84,2448,2471.52,7.84,STRUCTURE,2471.52,WIN,2,1.1530612244897959,3.7181122448979592,9,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
195,2026-09-05 21:15:00+00,2026-09-05 21:30:00+00,2026-09-05 21:30:00+00,LONG,RECLAIM_SMA20,2480.02,2473.85,2492.36,6.17,STRUCTURE,2492.36,WIN,2,-0.05996758508914100486,2.1653160453808752,0,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
196,2026-09-05 23:15:00+00,2026-09-05 23:30:00+00,2026-09-06 01:00:00+00,LONG,RECLAIM_SMA20,2479.55,2473.08971428571428568,2492.47057142857142864,6.46028571428571432,ATR_1.2,2492.47057142857142864,WIN,2,1.29096457476449515,4.99977886869222942,6,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
197,2026-09-06 01:30:00+00,2026-09-06 01:45:00+00,2026-09-06 04:45:00+00,LONG,BREAKOUT_10,2500.6,2483.92,2533.96,16.68,STRUCTURE,2503.29,TIME_WIN,0.16127098321342925659,0.03657074340527577938,0.25119904076738609113,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
198,2026-09-06 05:30:00+00,2026-09-06 05:45:00+00,2026-09-06 07:00:00+00,LONG,BREAKOUT_10,2514.99,2500.06,2544.85,14.93,STRUCTURE,2500.06,LOSS,-1,-2.2096450100468855,-0.55257870060281312793,5,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
199,2026-09-06 10:30:00+00,2026-09-06 10:45:00+00,2026-09-06 13:15:00+00,LONG,RECLAIM_SMA20,2499.59,2492.53,2513.71,7.06,STRUCTURE,2492.53,LOSS,-1,-2.0141643059490085,-0.46458923512747875354,10,4H bullish + 1H bullish + 15m momentum confirmation + RECLAIM_SMA20 + RSI 48-78
200,2026-09-06 21:00:00+00,2026-09-06 21:15:00+00,2026-09-06 22:15:00+00,LONG,BREAKOUT_10,2510.04,2487.71,2554.70,22.33,STRUCTURE,2487.71,LOSS,-1,-1.0537393640841917,0.31168831168831168831,4,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
